trader_id,market_id,asset_id,trade_date,volume_mwh,price,trade_type,trade_timestamp
10,4,4,2025-08-08,446,78.85,SELL,2025-08-08 02:00:00
8,5,7,2025-08-23,393,65.8,SELL,2025-08-23 02:00:00
10,4,8,2025-10-08,21,59.15,SELL,2025-10-08 16:00:00
4,1,5,2025-01-17,22,87.96,SELL,2025-01-17 07:00:00
13,3,1,2025-09-03,104,73.86,SELL,2025-09-03 12:00:00
14,2,6,2025-05-29,130,91.66,BUY,2025-05-29 09:00:00
15,3,1,2025-09-15,146,75.89,SELL,2025-09-15 16:00:00
9,4,3,2025-05-10,169,45.81,BUY,2025-05-10 03:00:00
8,5,6,2025-09-19,96,54.12,BUY,2025-09-19 14:00:00
12,5,4,2025-12-16,425,105.5,SELL,2025-12-16 16:00:00
6,1,2,2025-05-10,19,108.13,SELL,2025-05-10 08:00:00
2,1,8,2025-10-28,465,71.0,SELL,2025-10-28 15:00:00
9,3,6,2025-04-13,243,64.17,BUY,2025-04-13 06:00:00
6,3,3,2025-04-24,436,116.91,BUY,2025-04-24 19:00:00
8,2,8,2025-12-06,377,133.71,SELL,2025-12-06 18:00:00
6,4,2,2025-07-30,15,104.62,BUY,2025-07-30 16:00:00
5,3,8,2025-12-04,289,122.03,BUY,2025-12-04 22:00:00
7,3,9,2025-06-10,375,59.26,BUY,2025-06-10 00:00:00
12,1,6,2025-02-12,399,153.89,SELL,2025-02-12 20:00:00
4,4,8,2025-11-04,381,76.15,BUY,2025-11-04 17:00:00
10,1,10,2025-01-21,135,142.29,BUY,2025-01-21 22:00:00
11,2,8,2025-10-15,156,141.67,SELL,2025-10-15 22:00:00
3,3,8,2025-10-17,58,48.71,SELL,2025-10-17 02:00:00
11,3,1,2025-07-07,414,101.94,SELL,2025-07-07 00:00:00
12,3,10,2025-01-09,13,78.28,SELL,2025-01-09 14:00:00
15,5,10,2025-08-02,298,119.17,BUY,2025-08-02 22:00:00
7,4,2,2025-09-07,83,68.66,BUY,2025-09-07 01:00:00
2,1,2,2025-11-18,300,79.61,BUY,2025-11-18 17:00:00
10,1,8,2025-10-21,42,64.77,SELL,2025-10-21 03:00:00
3,1,4,2025-03-03,110,125.48,SELL,2025-03-03 20:00:00
1,2,3,2025-11-24,449,86.12,BUY,2025-11-24 10:00:00
11,5,9,2025-02-05,311,17.37,SELL,2025-02-05 23:00:00
12,2,5,2025-04-27,48,86.46,BUY,2025-04-27 06:00:00
1,4,2,2025-11-05,357,64.83,BUY,2025-11-05 16:00:00
2,1,10,2025-12-31,218,147.16,BUY,2025-12-31 19:00:00
13,1,2,2025-08-02,249,86.07,SELL,2025-08-02 04:00:00
14,1,5,2025-09-08,310,130.63,SELL,2025-09-08 19:00:00
1,3,1,2025-03-15,128,121.78,BUY,2025-03-15 05:00:00
15,3,8,2025-11-12,202,65.88,SELL,2025-11-12 14:00:00
2,1,5,2025-09-23,442,73.58,SELL,2025-09-23 14:00:00
1,1,6,2025-10-15,278,60.2,BUY,2025-10-15 04:00:00
3,3,7,2025-03-11,177,110.11,BUY,2025-03-11 22:00:00
9,2,7,2025-05-16,229,44.6,BUY,2025-05-16 02:00:00
9,5,7,2025-07-13,212,76.34,SELL,2025-07-13 04:00:00
8,2,9,2025-02-14,443,91.57,SELL,2025-02-14 03:00:00
9,5,9,2025-10-05,469,107.29,BUY,2025-10-05 20:00:00
12,3,6,2025-05-12,375,76.61,BUY,2025-05-12 13:00:00
14,1,5,2025-09-04,22,108.39,SELL,2025-09-04 11:00:00
4,1,8,2025-04-23,242,52.03,BUY,2025-04-23 05:00:00
14,1,5,2025-06-01,419,45.18,SELL,2025-06-01 03:00:00
8,2,3,2025-08-16,38,82.76,SELL,2025-08-16 02:00:00
11,1,4,2025-03-11,493,72.67,SELL,2025-03-11 07:00:00
5,5,9,2025-08-22,68,75.42,SELL,2025-08-22 00:00:00
4,1,3,2025-11-05,120,49.37,BUY,2025-11-05 00:00:00
13,3,5,2025-02-24,83,122.66,BUY,2025-02-24 10:00:00
4,1,9,2025-10-10,159,88.89,SELL,2025-10-10 08:00:00
2,2,4,2025-09-02,187,84.94,SELL,2025-09-02 08:00:00
10,2,4,2025-11-10,122,75.54,BUY,2025-11-10 14:00:00
9,3,1,2025-08-21,341,107.38,BUY,2025-08-21 07:00:00
13,4,10,2025-08-19,285,130.21,BUY,2025-08-19 10:00:00
9,2,2,2025-07-03,123,166.94,SELL,2025-07-03 21:00:00
14,4,1,2025-06-06,305,52.93,BUY,2025-06-06 04:00:00
1,3,3,2025-01-28,256,92.62,SELL,2025-01-28 15:00:00
12,1,2,2025-03-25,337,82.27,SELL,2025-03-25 06:00:00
4,4,4,2025-11-30,75,51.87,BUY,2025-11-30 02:00:00
9,3,3,2025-03-04,334,80.48,BUY,2025-03-04 07:00:00
14,4,3,2025-05-18,73,79.11,SELL,2025-05-18 16:00:00
4,4,8,2025-06-06,453,111.5,SELL,2025-06-06 19:00:00
14,1,3,2025-08-07,419,73.06,BUY,2025-08-07 00:00:00
2,2,5,2025-03-19,408,63.38,BUY,2025-03-19 05:00:00
2,4,8,2025-10-02,279,97.67,BUY,2025-10-02 09:00:00
13,5,5,2025-02-23,115,150.12,BUY,2025-02-23 19:00:00
10,1,7,2025-05-30,365,63.04,SELL,2025-05-30 05:00:00
14,5,10,2025-11-11,146,117.81,BUY,2025-11-11 18:00:00
9,1,5,2025-10-31,362,79.32,BUY,2025-10-31 08:00:00
11,1,10,2025-03-10,494,46.03,SELL,2025-03-10 04:00:00
4,2,8,2025-06-04,68,-13.73,BUY,2025-06-04 00:00:00
1,5,5,2025-01-30,69,84.1,SELL,2025-01-30 02:00:00
12,4,2,2025-07-17,466,126.2,SELL,2025-07-17 09:00:00
13,1,9,2025-02-05,463,83.86,BUY,2025-02-05 14:00:00
1,5,6,2025-12-07,275,65.07,BUY,2025-12-07 04:00:00
1,5,4,2025-09-01,464,64.03,SELL,2025-09-01 23:00:00
8,2,5,2025-11-05,286,45.94,SELL,2025-11-05 00:00:00
1,5,10,2025-09-30,374,22.83,SELL,2025-09-30 00:00:00
5,4,8,2025-08-07,179,86.83,BUY,2025-08-07 17:00:00
9,5,3,2025-08-04,186,127.53,BUY,2025-08-04 12:00:00
4,2,3,2025-03-13,150,43.75,BUY,2025-03-13 03:00:00
11,1,7,2025-08-30,328,90.06,SELL,2025-08-30 07:00:00
9,5,1,2025-08-19,142,94.18,SELL,2025-08-19 15:00:00
5,5,9,2025-07-25,198,124.7,BUY,2025-07-25 11:00:00
13,3,9,2025-05-27,104,68.75,BUY,2025-05-27 06:00:00
9,4,2,2025-01-09,427,125.76,BUY,2025-01-09 10:00:00
13,4,4,2025-06-25,282,132.66,SELL,2025-06-25 18:00:00
15,4,9,2025-07-02,207,143.57,BUY,2025-07-02 21:00:00
2,5,4,2025-04-07,419,80.43,BUY,2025-04-07 23:00:00
14,4,8,2025-11-30,255,61.02,SELL,2025-11-30 12:00:00
13,4,3,2025-05-03,11,43.61,BUY,2025-05-03 03:00:00
8,3,4,2025-11-21,131,80.19,BUY,2025-11-21 01:00:00
7,2,1,2025-01-09,36,74.85,BUY,2025-01-09 05:00:00
7,2,4,2025-10-24,493,130.32,SELL,2025-10-24 21:00:00
3,1,6,2025-03-22,244,110.49,BUY,2025-03-22 10:00:00
10,3,10,2025-09-19,58,69.39,BUY,2025-09-19 23:00:00
12,5,7,2025-06-28,50,92.44,SELL,2025-06-28 10:00:00
2,1,6,2025-04-15,445,79.53,BUY,2025-04-15 15:00:00
11,4,4,2025-01-28,200,132.76,BUY,2025-01-28 11:00:00
14,1,8,2025-04-28,77,55.43,SELL,2025-04-28 03:00:00
10,2,7,2025-10-23,10,128.3,BUY,2025-10-23 18:00:00
1,1,1,2025-09-30,34,132.22,SELL,2025-09-30 18:00:00
13,1,1,2025-03-24,301,107.73,BUY,2025-03-24 18:00:00
1,3,9,2025-12-14,82,117.76,BUY,2025-12-14 10:00:00
7,4,9,2025-05-02,157,53.78,BUY,2025-05-02 07:00:00
9,5,9,2025-03-14,67,54.92,BUY,2025-03-14 06:00:00
15,5,8,2025-03-18,238,129.78,SELL,2025-03-18 19:00:00
1,3,9,2025-12-28,435,104.69,SELL,2025-12-28 16:00:00
15,3,1,2025-05-05,117,38.13,SELL,2025-05-05 00:00:00
10,5,2,2025-03-23,400,66.32,SELL,2025-03-23 15:00:00
4,1,9,2025-08-28,413,94.99,BUY,2025-08-28 23:00:00
15,4,4,2025-10-06,268,139.31,BUY,2025-10-06 22:00:00
14,5,10,2025-04-10,397,105.23,BUY,2025-04-10 09:00:00
13,1,5,2025-07-17,415,87.37,BUY,2025-07-17 08:00:00
2,1,1,2025-03-17,421,50.67,BUY,2025-03-17 02:00:00
14,2,2,2025-12-06,25,142.26,BUY,2025-12-06 19:00:00
8,3,2,2025-12-05,236,118.18,BUY,2025-12-05 08:00:00
9,5,5,2025-10-03,162,60.8,SELL,2025-10-03 16:00:00
3,5,5,2025-08-19,460,106.41,SELL,2025-08-19 14:00:00
3,4,9,2025-06-19,123,40.47,SELL,2025-06-19 05:00:00
7,5,5,2025-01-11,132,134.73,BUY,2025-01-11 22:00:00
9,1,10,2025-09-19,94,69.72,BUY,2025-09-19 23:00:00
7,1,8,2025-03-27,232,104.68,BUY,2025-03-27 09:00:00
12,4,8,2025-08-14,169,102.06,BUY,2025-08-14 23:00:00
14,1,3,2025-07-09,146,100.16,SELL,2025-07-09 12:00:00
13,1,3,2025-05-10,138,68.43,BUY,2025-05-10 12:00:00
7,5,3,2025-10-26,255,70.15,SELL,2025-10-26 06:00:00
14,3,5,2025-11-05,209,100.22,SELL,2025-11-05 08:00:00
2,5,1,2025-05-13,393,76.84,SELL,2025-05-13 02:00:00
12,2,10,2025-04-04,207,69.69,BUY,2025-04-04 23:00:00
11,4,8,2025-02-18,242,90.0,SELL,2025-02-18 02:00:00
1,1,5,2025-07-07,399,129.44,BUY,2025-07-07 11:00:00
2,5,4,2025-09-20,225,55.2,BUY,2025-09-20 07:00:00
12,5,10,2025-09-16,365,51.75,SELL,2025-09-16 05:00:00
6,1,3,2025-03-10,281,61.48,BUY,2025-03-10 16:00:00
12,4,1,2025-08-19,38,142.41,BUY,2025-08-19 19:00:00
12,5,9,2025-06-24,67,61.11,SELL,2025-06-24 23:00:00
14,3,9,2025-12-18,341,136.9,BUY,2025-12-18 21:00:00
10,1,2,2025-04-17,101,83.2,SELL,2025-04-17 13:00:00
15,4,5,2025-08-22,215,77.32,BUY,2025-08-22 00:00:00
13,2,2,2025-01-05,81,79.17,BUY,2025-01-05 02:00:00
8,1,8,2025-04-02,156,82.21,SELL,2025-04-02 16:00:00
8,2,1,2025-05-04,128,97.56,SELL,2025-05-04 09:00:00
6,1,9,2025-07-27,95,70.92,BUY,2025-07-27 05:00:00
2,5,5,2025-07-04,232,108.42,SELL,2025-07-04 17:00:00
14,4,7,2025-04-30,209,54.68,BUY,2025-04-30 13:00:00
9,3,3,2025-02-09,234,141.04,SELL,2025-02-09 20:00:00
10,2,6,2025-12-15,481,84.62,BUY,2025-12-15 00:00:00
4,2,9,2025-08-26,477,124.48,BUY,2025-08-26 11:00:00
13,1,9,2025-10-17,229,113.46,BUY,2025-10-17 08:00:00
5,2,10,2025-07-07,18,67.13,BUY,2025-07-07 05:00:00
1,1,1,2025-07-24,343,98.63,BUY,2025-07-24 15:00:00
9,1,2,2025-06-16,412,51.29,SELL,2025-06-16 03:00:00
11,2,10,2025-09-08,258,78.2,BUY,2025-09-08 15:00:00
11,2,5,2025-02-20,305,158.8,BUY,2025-02-20 18:00:00
11,5,5,2025-07-07,476,120.86,BUY,2025-07-07 08:00:00
10,5,8,2025-07-17,400,81.57,SELL,2025-07-17 07:00:00
13,5,5,2025-07-09,41,138.17,SELL,2025-07-09 19:00:00
1,4,6,2025-12-02,152,135.63,BUY,2025-12-02 10:00:00
7,3,1,2025-05-24,265,62.68,SELL,2025-05-24 14:00:00
11,5,6,2025-02-13,141,107.81,SELL,2025-02-13 13:00:00
9,5,4,2025-10-15,367,52.92,SELL,2025-10-15 05:00:00
3,1,10,2025-03-12,134,64.37,BUY,2025-03-12 13:00:00
2,3,10,2025-05-24,391,50.76,SELL,2025-05-24 04:00:00
14,2,1,2025-12-31,340,143.86,SELL,2025-12-31 18:00:00
10,4,4,2025-09-03,238,58.05,BUY,2025-09-03 15:00:00
8,2,10,2025-05-20,267,129.32,SELL,2025-05-20 18:00:00
4,1,1,2025-01-10,209,142.62,SELL,2025-01-10 09:00:00
1,4,8,2025-07-23,192,133.47,SELL,2025-07-23 21:00:00
8,5,9,2025-10-20,69,83.61,SELL,2025-10-20 14:00:00
15,3,6,2025-08-22,233,126.35,BUY,2025-08-22 08:00:00
6,3,5,2025-11-30,474,58.26,SELL,2025-11-30 04:00:00
6,5,9,2025-11-17,81,48.62,BUY,2025-11-17 03:00:00
4,2,5,2025-07-13,102,106.3,SELL,2025-07-13 10:00:00
6,2,5,2025-11-16,222,69.99,SELL,2025-11-16 23:00:00
2,5,1,2025-12-09,211,83.89,BUY,2025-12-09 00:00:00
6,5,7,2025-11-02,54,114.55,BUY,2025-11-02 19:00:00
15,3,1,2025-04-02,12,219.73,SELL,2025-04-02 21:00:00
2,2,3,2025-02-14,22,106.76,BUY,2025-02-14 13:00:00
6,4,3,2025-05-24,18,63.82,BUY,2025-05-24 12:00:00
14,4,2,2025-02-14,257,56.26,BUY,2025-02-14 04:00:00
9,1,6,2025-04-07,74,79.79,SELL,2025-04-07 23:00:00
7,1,10,2025-05-23,277,77.24,SELL,2025-05-23 12:00:00
12,1,3,2025-01-13,346,219.53,SELL,2025-01-13 13:00:00
14,2,7,2025-01-26,369,93.6,BUY,2025-01-26 06:00:00
15,4,4,2025-05-13,447,74.66,SELL,2025-05-13 02:00:00
14,2,3,2025-01-30,55,85.63,BUY,2025-01-30 03:00:00
12,5,3,2025-08-01,272,75.18,SELL,2025-08-01 00:00:00
4,3,4,2025-01-08,426,131.07,BUY,2025-01-08 22:00:00
1,1,4,2025-02-10,448,141.57,SELL,2025-02-10 20:00:00
9,5,7,2025-05-04,450,64.14,BUY,2025-05-04 23:00:00
1,5,7,2025-09-12,12,67.8,BUY,2025-09-12 06:00:00
5,3,10,2025-02-19,392,127.88,BUY,2025-02-19 08:00:00
14,4,8,2025-05-19,482,76.88,BUY,2025-05-19 15:00:00
7,4,4,2025-05-22,105,108.57,SELL,2025-05-22 10:00:00
10,5,1,2025-12-13,188,81.94,BUY,2025-12-13 15:00:00
13,3,3,2025-03-17,211,152.57,BUY,2025-03-17 16:00:00
13,4,1,2025-09-01,54,106.09,BUY,2025-09-01 22:00:00
10,1,10,2025-10-07,180,74.07,SELL,2025-10-07 13:00:00
6,2,8,2025-01-24,232,101.94,BUY,2025-01-24 17:00:00
3,3,9,2025-08-15,426,131.28,BUY,2025-08-15 18:00:00
11,5,2,2025-03-20,235,-3.32,SELL,2025-03-20 23:00:00
8,2,2,2025-04-24,469,116.64,SELL,2025-04-24 21:00:00
11,4,8,2025-06-10,301,47.43,SELL,2025-06-10 23:00:00
7,4,6,2025-11-07,21,66.23,BUY,2025-11-07 15:00:00
9,3,2,2025-06-17,183,78.1,BUY,2025-06-17 06:00:00
1,2,10,2025-03-12,122,63.36,BUY,2025-03-12 06:00:00
8,4,5,2025-05-06,426,87.68,SELL,2025-05-06 09:00:00
4,3,6,2025-11-22,24,68.87,SELL,2025-11-22 06:00:00
7,2,6,2025-01-07,170,138.49,SELL,2025-01-07 10:00:00
7,5,10,2025-02-28,82,103.75,BUY,2025-02-28 17:00:00
4,5,7,2025-02-02,50,88.75,BUY,2025-02-02 16:00:00
8,4,4,2025-12-04,127,175.13,BUY,2025-12-04 08:00:00
13,3,3,2025-11-12,175,66.12,BUY,2025-11-12 00:00:00
12,1,3,2025-11-02,463,76.88,BUY,2025-11-02 23:00:00
1,4,4,2025-10-28,228,57.69,SELL,2025-10-28 06:00:00
5,1,1,2025-08-22,381,68.15,BUY,2025-08-22 04:00:00
4,2,10,2025-08-30,66,77.13,SELL,2025-08-30 17:00:00
4,3,1,2025-04-27,81,107.7,BUY,2025-04-27 22:00:00
15,4,7,2025-01-23,450,124.81,BUY,2025-01-23 09:00:00
3,5,2,2025-09-07,389,101.86,BUY,2025-09-07 10:00:00
1,2,6,2025-03-18,368,61.87,BUY,2025-03-18 17:00:00
5,2,6,2025-12-30,187,80.94,BUY,2025-12-30 04:00:00
8,2,3,2025-10-18,367,84.41,BUY,2025-10-18 11:00:00
10,1,5,2025-08-23,409,121.36,SELL,2025-08-23 09:00:00
6,1,6,2025-05-03,200,118.99,BUY,2025-05-03 22:00:00
12,2,10,2025-11-30,105,48.48,SELL,2025-11-30 00:00:00
1,4,6,2025-07-19,376,76.06,SELL,2025-07-19 04:00:00
5,1,4,2025-04-09,297,71.4,SELL,2025-04-09 16:00:00
6,3,2,2025-10-05,437,72.3,SELL,2025-10-05 07:00:00
15,5,2,2025-12-07,177,85.61,SELL,2025-12-07 13:00:00
9,4,4,2025-07-07,15,88.45,BUY,2025-07-07 07:00:00
9,3,5,2025-09-08,316,43.98,BUY,2025-09-08 02:00:00
5,1,2,2025-10-03,100,82.05,BUY,2025-10-03 14:00:00
3,5,8,2025-09-04,192,78.67,BUY,2025-09-04 15:00:00
6,2,10,2025-02-05,325,95.61,SELL,2025-02-05 13:00:00
11,5,5,2025-06-22,445,127.26,BUY,2025-06-22 18:00:00
8,2,7,2025-06-07,63,52.14,BUY,2025-06-07 01:00:00
12,3,6,2025-01-24,287,139.98,BUY,2025-01-24 22:00:00
11,3,6,2025-02-17,285,153.45,SELL,2025-02-17 20:00:00
12,4,3,2025-09-20,122,60.83,SELL,2025-09-20 05:00:00
12,3,10,2025-09-27,462,75.94,SELL,2025-09-27 01:00:00
5,1,3,2025-11-09,443,95.18,BUY,2025-11-09 21:00:00
8,1,2,2025-07-19,317,91.56,BUY,2025-07-19 01:00:00
1,5,1,2025-06-10,38,78.15,BUY,2025-06-10 14:00:00
8,2,7,2025-04-14,120,132.7,SELL,2025-04-14 19:00:00
2,5,10,2025-05-11,317,65.8,BUY,2025-05-11 04:00:00
7,4,10,2025-08-26,74,57.69,SELL,2025-08-26 03:00:00
2,4,4,2025-05-08,32,68.27,SELL,2025-05-08 03:00:00
3,1,6,2025-01-01,239,72.48,SELL,2025-01-01 04:00:00
5,4,5,2025-08-06,269,96.59,BUY,2025-08-06 14:00:00
10,1,10,2025-08-10,22,116.07,SELL,2025-08-10 11:00:00
7,2,7,2025-07-22,169,124.64,SELL,2025-07-22 21:00:00
9,5,3,2025-02-06,218,112.07,BUY,2025-02-06 12:00:00
12,4,10,2025-10-20,299,106.15,BUY,2025-10-20 19:00:00
12,2,3,2025-06-22,443,76.32,SELL,2025-06-22 14:00:00
5,4,1,2025-10-18,244,76.71,BUY,2025-10-18 06:00:00
11,3,4,2025-10-22,136,63.33,SELL,2025-10-22 23:00:00
1,4,8,2025-11-29,394,106.25,BUY,2025-11-29 19:00:00
15,2,8,2025-10-11,169,67.34,BUY,2025-10-11 07:00:00
11,4,7,2025-07-06,41,75.18,BUY,2025-07-06 01:00:00
15,3,7,2025-01-27,288,125.19,SELL,2025-01-27 11:00:00
3,4,5,2025-03-12,240,62.6,BUY,2025-03-12 13:00:00
5,2,2,2025-07-18,498,85.09,SELL,2025-07-18 00:00:00
12,1,1,2025-12-13,486,109.93,SELL,2025-12-13 07:00:00
3,2,3,2025-02-04,397,102.58,SELL,2025-02-04 14:00:00
8,1,6,2025-08-04,358,89.1,BUY,2025-08-04 17:00:00
8,1,9,2025-12-13,162,79.07,BUY,2025-12-13 04:00:00
15,5,5,2025-09-05,225,121.25,SELL,2025-09-05 21:00:00
11,2,10,2025-04-29,249,69.44,BUY,2025-04-29 06:00:00
1,5,7,2025-02-17,309,142.55,BUY,2025-02-17 22:00:00
8,1,9,2025-11-12,83,69.02,SELL,2025-11-12 00:00:00
14,4,8,2025-03-22,418,101.23,BUY,2025-03-22 11:00:00
4,1,3,2025-03-11,293,110.87,BUY,2025-03-11 08:00:00
11,2,7,2025-02-15,480,71.77,SELL,2025-02-15 01:00:00
6,2,2,2025-01-22,220,128.31,BUY,2025-01-22 08:00:00
10,2,6,2025-11-22,55,41.2,BUY,2025-11-22 05:00:00
15,2,1,2025-08-07,227,87.43,BUY,2025-08-07 05:00:00
8,4,4,2025-01-24,86,115.39,SELL,2025-01-24 07:00:00
14,5,3,2025-06-03,260,62.3,SELL,2025-06-03 00:00:00
2,3,9,2025-11-05,223,80.73,BUY,2025-11-05 12:00:00
8,5,7,2025-05-20,216,90.36,BUY,2025-05-20 07:00:00
7,1,2,2025-06-19,258,73.78,BUY,2025-06-19 14:00:00
4,2,5,2025-01-25,362,158.95,SELL,2025-01-25 04:00:00
12,2,7,2025-10-19,199,124.54,BUY,2025-10-19 20:00:00
5,3,8,2025-12-05,115,157.08,BUY,2025-12-05 18:00:00
6,5,4,2025-05-12,222,50.46,SELL,2025-05-12 03:00:00
15,1,5,2025-06-27,477,60.97,SELL,2025-06-27 01:00:00
3,2,6,2025-03-11,410,67.03,BUY,2025-03-11 23:00:00
2,3,10,2025-05-27,202,49.33,SELL,2025-05-27 02:00:00
14,3,8,2025-10-30,227,71.86,SELL,2025-10-30 05:00:00
2,1,2,2025-04-25,350,110.1,SELL,2025-04-25 08:00:00
15,3,8,2025-08-05,344,63.69,SELL,2025-08-05 04:00:00
4,3,3,2025-03-31,143,43.55,BUY,2025-03-31 05:00:00
7,5,8,2025-10-03,69,80.71,SELL,2025-10-03 17:00:00
12,2,10,2025-04-14,388,75.21,BUY,2025-04-14 07:00:00
1,5,10,2025-09-28,332,48.16,BUY,2025-09-28 04:00:00
1,3,5,2025-11-06,434,64.11,BUY,2025-11-06 05:00:00
